epoch,beta_epoch,train_total,train_mss,train_kld,val_total,val_mss,val_kld
1,0.006666666666666667,4.565471046169599,4.548466141025226,2.5507376778249937,4.818097988764445,4.72195094426473,14.422058327992756
2,0.013333333333333334,3.0594401647647222,2.990755386153857,5.151357852419218,3.745453977584839,3.416333023707072,24.684071667989095
3,0.02,2.230239462852478,2.1172564521431925,5.649150554339091,2.945250654220581,2.5811397234598794,18.205545711517335
4,0.02666666666666667,1.681921662390232,1.5380503222346307,5.395175133148829,2.655362304051717,2.2329771240552265,15.839443842569986
5,0.03333333333333333,1.443722056845824,1.279880774517854,4.9152382949988045,2.441799028714498,1.9898719906806945,13.557810401916504
6,0.04,1.351127995053927,1.1728986894090971,4.455732763806979,2.405848177274068,1.7635133425394693,16.058371575673423
7,0.04666666666666667,1.3185661296049753,1.1248047860960166,4.152028768261274,2.139898415406545,1.7704849004745484,7.916003863016765
8,0.05333333333333334,1.3086487218737601,1.1076468226810297,3.768785454829534,2.4538911898930866,1.8426596403121949,11.460591061909993
9,0.06,1.299891317387422,1.086871432264646,3.5503314673900603,2.2499411503473916,1.6465877890586853,10.055889479319255
10,0.06666666666666667,1.297739244500796,1.0724699954191843,3.379038491845131,1.9843234181404115,1.5402414441108703,6.661229308446249
11,0.07333333333333333,1.308679361641407,1.0705665337542694,3.2469932228326797,2.3130002578099567,1.7173909942309062,8.121945254007976
12,0.08,1.3059776157140732,1.0632573939859866,3.034002849459648,1.9750771323839824,1.3805341243743896,7.431787761052449
13,0.08666666666666667,1.3116250346104303,1.0560868307948112,2.948517841100693,1.813263992468516,1.3687953074773154,5.128484837214152
14,0.09333333333333334,1.3199583152929941,1.0573219187557696,2.813961335023244,2.7743489027023314,1.6448353330294292,12.101930936177572
15,0.1,1.3241132666667303,1.056762222200632,2.6735103527704873,2.1610514442125957,1.4847672899564108,6.762841510772705
16,0.10666666666666667,1.3395858670274416,1.0614702520271142,2.6073337972164152,1.8502174496650696,1.4550565004348754,3.7046337207158406
17,0.11333333333333333,1.3433537806073825,1.0595528848469258,2.504125503698985,1.9678165276845296,1.4882125417391459,4.231799761454265
18,0.12,1.3787116249402365,1.0826724593838055,2.4669930934906006,1.7951915899912516,1.3917500416437785,3.3620129187901813
19,0.12666666666666668,1.3696418086687723,1.0765045737226804,2.3142413730422655,1.8694514354070029,1.419962469736735,3.5485972007115683
